YIL,AY,ORTALAMA_TUKETIM_MEAN,ABONE_ADEDI_SUM,KAYIT_SAYISI,ORT_DOLULUK,TOPLAM_SU,BARAJ_SAYISI,TUKETIM
2024,8,88.0,6.0,1.0,32.655,257371000.0,6.0,140.79
2021,7,711.5,99.0,2.0,53.97166666666666,382565000.0,6.0,219.59
2023,12,47.5,4.0,2.0,26.203333333333333,247671000.0,6.0,117.94
2022,11,170.5,7.0,1.0,35.45333333333333,290429000.0,6.0,128.49
2023,10,170.5,7.0,1.0,24.72666666666667,244436000.0,6.0,86.1
2024,6,1942.5,15.0,2.0,44.92,314563000.0,6.0,95.82
2022,5,926.0,38.0,1.0,65.71,400103000.0,6.0,38.19
2024,6,170.5,7.0,1.0,44.92,314563000.0,6.0,187.68
2023,5,170.5,7.0,1.0,46.355,326783000.0,6.0,145.41
2023,2,601.0,5.0,1.0,39.745,304390000.0,6.0,119.49
2023,10,170.5,7.0,1.0,24.72666666666667,244436000.0,6.0,185.6
2024,2,322.0,99.0,2.0,44.58833333333333,331522000.0,6.0,151.77
2022,12,2.0,2.0,1.0,36.53833333333333,288391000.0,6.0,158.04
2022,3,170.5,7.0,1.0,71.255,424798000.0,6.0,146.17
2021,3,8.0,1.0,1.0,69.53833333333334,440241000.0,6.0,107.63
2023,1,30.0,1.0,1.0,36.13833333333333,284679000.0,6.0,101.27
2022,2,170.5,7.0,1.0,66.33666666666666,380070000.0,6.0,117.66
2022,5,170.5,7.0,1.0,65.71,400103000.0,6.0,138.14
2024,4,1211.0,109.0,1.0,49.43333333333334,341213000.0,6.0,106.9
2020,12,318.0,17.0,1.0,33.15833333333333,251570000.0,6.0,166.43
2022,8,170.5,7.0,1.0,46.225,334604000.0,6.0,149.3
2023,3,170.5,7.0,1.0,42.32666666666667,313051000.0,6.0,124.02
2020,7,54.0,1.0,1.0,38.525,316270000.0,6.0,139.87
2020,12,6.0,1.0,1.0,33.15833333333333,251570000.0,6.0,158.63
2024,3,170.5,7.0,1.0,49.19499999999999,340131000.0,6.0,89.15
2023,4,61.0,2.0,1.0,46.845,329634000.0,6.0,159.5
2021,2,3.0,1.0,1.0,63.975,381253000.0,6.0,41.32
2021,2,24.5,8.0,2.0,63.975,381253000.0,6.0,70.01
2022,6,170.5,7.0,1.0,59.61666666666667,373647000.0,6.0,84.24
2020,7,170.5,7.0,1.0,38.525,316270000.0,6.0,146.06
2024,5,1642.0,226.0,1.0,47.67666666666667,331440000.0,6.0,125.66
2023,11,170.5,7.0,1.0,22.915000000000003,229694000.0,6.0,124.71
2021,2,2.0,1.0,1.0,63.975,381253000.0,6.0,62.06
2021,3,170.5,7.0,1.0,69.53833333333334,440241000.0,6.0,79.64
2022,1,170.5,7.0,1.0,52.89333333333334,324869000.0,6.0,178.41
2023,2,27.0,2.0,1.0,39.745,304390000.0,6.0,105.45
2022,1,170.5,7.0,1.0,52.89333333333334,324869000.0,6.0,115.71
2022,6,443.0,6.0,1.0,59.61666666666667,373647000.0,6.0,77.86
2023,9,36.0,7.0,2.0,29.215,272137000.0,6.0,95.9
2022,10,198.0,1.0,1.0,40.355,303945000.0,6.0,95.11
2021,3,668.0,122.0,1.0,69.53833333333334,440241000.0,6.0,86.25
2021,11,170.5,7.0,1.0,36.111666666666665,299884000.0,6.0,151.06
2020,10,406.5,50.0,2.0,25.903333333333336,258732000.0,6.0,159.4
2023,11,170.5,7.0,1.0,22.915000000000003,229694000.0,6.0,185.82
2020,8,8100.0,568.0,2.0,32.69166666666667,294685000.0,6.0,121.53
2023,8,170.5,7.0,1.0,35.550000000000004,289801000.0,6.0,156.93
2020,11,145.66666666666666,24.0,3.0,24.118333333333336,243861000.0,6.0,60.51
2022,1,83.0,11.0,2.0,52.89333333333334,324869000.0,6.0,148.8
2021,2,707.0,4.0,1.0,63.975,381253000.0,6.0,173.13
2021,1,420.5,49.0,2.0,42.87166666666667,270220000.0,6.0,76.04
2020,10,500.0,2.0,1.0,25.903333333333336,258732000.0,6.0,135.02
2022,3,170.5,7.0,1.0,71.255,424798000.0,6.0,124.73
2024,2,499.0,58.0,1.0,44.58833333333333,331522000.0,6.0,132.87
2021,6,421.0,34.0,1.0,61.6,415893000.0,6.0,172.07
2023,4,170.5,7.0,1.0,46.845,329634000.0,6.0,184.98
2021,10,170.5,7.0,1.0,40.41833333333333,310750000.0,6.0,134.1
2022,4,1719.0,139.0,1.0,69.625,417610000.0,6.0,184.48
