YIL,AY,ILCE,MAHALLE,ABONELIK_GRUBU,ABONELIK_TURU,ABONE_TIPI,ABONE_ADEDI,ORTALAMA_TUKETIM
2024,3,BEYDAĞ,ÇİFTLİKKÖY,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,8,221.0
2021,2,ÇİĞLİ,ŞİRİNTEPE,Konut,Su,E.A.,164,1793.0
2023,9,NARLIDERE,HUZUR,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,8,2295.0
2024,3,FOÇA,KOCA MEHMETLER,Konut,Su,KONUT,81,552.0
2023,4,DİKİLİ,İSMETPAŞA,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,4,112.0
2023,4,BAYINDIR,KIZILCAOVA,Konut Dışı,Su,İNŞAAT (ŞANTİYE),2,65.0
2024,6,SELÇUK,CUMHURİYET,Konut Dışı,Su,İBADETHANELER,1,2.0
2022,4,BUCA,ÇAMLIPINAR,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,3,29.0
2022,10,MENDERES,BULGURCA,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,198.0
2024,8,KARŞIYAKA,BAHÇELİEVLER,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,1,77.0
2022,7,SEFERİHİSAR,TURABİYE,Konut Dışı,Su,RESMİ OKUL HASTANELER,3,1784.0
2020,8,NARLIDERE,NARLI,Konut Dışı,Su,BELEDİYE,2,37.0
2023,6,FOÇA,HACIVELİ,Konut,Atıksu,KUYU ATIK SU KONUT,4,80.0
2023,11,ALİAĞA,FATİH,Sanayi,Su,SANAYİ,2,98.0
2024,6,BALÇOVA,İNCİRALTI,Konut Dışı,Su,İŞYERİ,32,2777.0
2021,10,SELÇUK,ATATÜRK,Konut Dışı,Su,İŞYERİ,565,6822.0
2020,2,ALİAĞA,YALI,Konut Dışı,Su,RESMİ OKUL HASTANELER,2,23.0
2023,8,KONAK,UMURBEY,Konut Dışı,Atıksu,K.A.RESMİ DAİRE (TÜK. BİLD. İNECEK),1,591.0
2020,5,FOÇA,MUSTAFA KEMAL ATATÜRK,Konut Dışı,Su,İŞYERİ,31,765.0
2022,7,URLA,İSKELE,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,22,1510.0
