YIL,AY,ILCE,MAHALLE,ABONELIK_GRUBU,ABONELIK_TURU,ABONE_TIPI,ABONE_ADEDI,ORTALAMA_TUKETIM
2020,8,BALÇOVA,KORUTÜRK,Konut Dışı,Su,RESMİ DAİRE,4,377.0
2021,7,GÜZELBAHÇE,ÇELEBİ,Tarım Hayvan,Su,İLÇE BELEDİYE TARIM / HAYVAN,1,31.0
2022,7,TORBALI,KAZIM KARABEKİR,Konut Dışı,Su,5216 ESKİ KÖY İŞYERİ,1,1.0
2020,9,BAYRAKLI,YAMANLAR,Konut,Su,E.A.,209,3309.0
2021,11,DİKİLİ,KIROBA,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,37,1510.0
2021,11,DİKİLİ,SALİHLER,Konut,Atıksu,KUYU ATIK SU KONUT,14,114.0
2021,4,TORBALI,TEPEKÖY,Konut Dışı,Atıksu,K.ATIKSU TURİSTİK TESİS,1,170.0
2024,5,FOÇA,CUMHURİYET,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,1,27.0
2022,10,GAZİEMİR,FATİH,Sanayi,Atıksu,KUYU ATIK SU SANAYİ,4,7058.0
2020,7,TİRE,YENİ,Konut Dışı,Su,İNŞAAT (ŞANTİYE),3,51.0
2022,1,ÖDEMİŞ,GERELİ,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,237,6486.0
2020,3,SEFERİHİSAR,TURABİYE,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,1,9.0
2022,10,DİKİLİ,UZUNBURUN,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,1,37.0
2022,11,BAYRAKLI,POSTACILAR,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,2,25.0
2022,3,BUCA,ÇAMLIK,Konut Dışı,Su,BELEDİYE,2,2864.0
2022,1,TİRE,CUMHURİYET,Konut,Su,E.A.,46,416.0
2023,3,URLA,TORASAN,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,1,23.0
2021,10,ÇEŞME,FAHRETTİNPAŞA,Konut Dışı,Su,İNŞAAT (ŞANTİYE),5,318.0
2024,4,MENEMEN,ÇAVUŞ,Konut Dışı,Su,İBADETHANELER,1,4.0
2020,5,SEFERİHİSAR,TEPECİK,Konut,Su,KONUT,2,73.0
2020,11,KARABAĞLAR,ARAP HASAN,Konut,Su,KONUT,3512,31392.0
2023,8,KONAK,SAYGI,Konut Dışı,Su,İŞYERİ,29,281.0
2020,4,KEMALPAŞA,VİŞNELİ,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,1,45.0
2023,6,KARŞIYAKA,YALI,Konut Dışı,Su,İŞYERİ,834,24910.0
2021,2,KONAK,MERSİNLİ,Konut Dışı,Su,BELEDİYE,4,707.0
2021,3,BEYDAĞ,YAĞCILAR,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,158,2038.0
2024,2,GAZİEMİR,GAZİ,Konut Dışı,Atıksu,K.ATIKSU FIRIN - HAMAM,1,86.0
2023,11,ÇEŞME,İSMET İNÖNÜ,Konut,Su,E.A.,15,183.0
2022,5,BALÇOVA,EĞİTİM,Konut,Su,ŞEHİT GAZİ,16,176.0
2023,4,MENEMEN,SÜLEYMANLI,Konut,Su,KÖY ENGELLİ,3,67.0
2023,12,ÇEŞME,FAHRETTİNPAŞA,Konut,Su,E.A.,4,37.0
2022,2,GÜZELBAHÇE,ÇAMLI,Konut Dışı,Su,İBADETHANELER,1,9.0
2022,10,KİRAZ,SARIKAYA,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,4,108.0
2020,12,ÇEŞME,REİSDERE,Konut Dışı,Su,İNŞAAT (ŞANTİYE),20,658.0
2020,11,NARLIDERE,LİMANREİS,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,37,357.0
2022,4,KİRAZ,YENİŞEHİR,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,1,2.0
2022,2,BEYDAĞ,ADAKÜRE,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,4,260.0
2024,8,ÇİĞLİ,MALTEPE,Konut Dışı,Su,ÖZEL OKULLAR,1,141.0
2024,5,MENEMEN,85.YIL CUMHURİYET,Konut Dışı,Su,BELEDİYE,5,2785.0
2021,7,BORNOVA,KAZIMDİRİK,Konut Dışı,Su,ÖZEL HASTANELER,1,46.0
2023,7,GÜZELBAHÇE,SİTELER,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,1,90.0
2021,5,ÇİĞLİ,UĞUR MUMCU,Konut Dışı,Su,İNŞAAT (ŞANTİYE),1,15.0
2021,1,NARLIDERE,ATATÜRK,Konut Dışı,Su,İŞYERİ,2,11.0
2021,3,GÜZELBAHÇE,KAHRAMANDERE,Konut Dışı,Su,FIRIN HAMAM ABONELERİ,1,11.0
2020,6,FOÇA,ATATÜRK,Konut Dışı,Su,İŞYERİ,133,2925.0
2022,7,BUCA,İNKILAP,Sanayi,Su,SANAYİ,1,88.0
2021,4,BORNOVA,EVKA 4,Konut Dışı,Su,İŞYERİ,50,626.0
2020,4,KEMALPAŞA,YUKARIKIZILCA MERKEZ,Konut Dışı,Su,RESMİ DAİRE,1,1.0
2024,4,URLA,ŞİRİNKENT,Konut Dışı,Su,İNŞAAT (ŞANTİYE),3,8.0
2021,3,KARŞIYAKA,ZÜBEYDE HANIM,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,10,16.0
2022,8,ÇEŞME,ALTINKUM,Konut,Su,E.A.,3,79.0
2020,11,GÜZELBAHÇE,YAKA,Konut,Su,KONUT,151,2471.0
2021,3,BORNOVA,EĞRİDERE,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,56,1457.0
2023,4,BORNOVA,ÜMİT,Konut,Su,E.A.,37,474.0
2021,12,URLA,BARBAROS,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,1,63.0
2022,5,MENDERES,ÇAMÖNÜ,Konut,Su,KÖY ŞEHİT GAZİ,3,40.0
2023,6,ALİAĞA,HACIÖMERLİ,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,28,589.0
2022,2,BAYRAKLI,MANSUROĞLU,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,3,17.0
2022,3,BEYDAĞ,YUKARITOSUNLAR,Konut Dışı,Su,İBADETHANELER,1,2.0
2022,12,KINIK,TÜRKCEDİT,Konut,Su,KONUT,658,6785.0
2020,1,ÖDEMİŞ,UMURBEY,Konut Dışı,Su,TURİSTİK TESİS,1,282.0
2021,3,KEMALPAŞA,YEŞİLKÖY,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,2,13.0
2024,8,BAYINDIR,ALANKIYI,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,60,1902.0
2021,5,GAZİEMİR,ZAFER,Konut Dışı,Su,BELEDİYE,1,1.0
2021,12,KARABAĞLAR,BAHAR,Konut Dışı,Su,BELEDİYE,1,4.0
2021,8,KINIK,KÖSELER,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,4,44.0
2020,2,KEMALPAŞA,HALİLBEYLİ,Tarım Hayvan,Su,5216 ESKİ KÖY TARIM HAYVAN,109,6305.0
2022,1,GÜZELBAHÇE,PAYAMLI,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,5,63.0
2020,2,BAYINDIR,HASKÖY,Konut Dışı,Su,RESMİ DAİRE İÇME SUYU,1,15.0
2023,6,URLA,RÜSTEM,Konut,Su,E.A.,6,54.0
2023,5,MENEMEN,MERMERLİ,Konut Dışı,Su,İŞYERİ,484,3054.0
2023,6,BERGAMA,TURABEY,Konut Dışı,Su,İŞYERİ,92,690.0
2022,2,MENDERES,ÇAMÖNÜ,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,465,6999.0
2024,7,DİKİLİ,İSLAMLAR,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,2,74.0
2020,2,BORNOVA,KIZILAY,Konut Dışı,Su,ÖZEL OKULLAR,2,492.0
2020,7,BEYDAĞ,ERİKLİ,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,163,3015.0
2024,8,MENDERES,ORTA,Tarım Hayvan,Su,İLÇE BELEDİYE TARIM / HAYVAN,2,15.0
2023,5,MENEMEN,29 EKİM,Sanayi,Su,SANAYİ,8,505.0
2024,1,KARABURUN,MERKEZ,Konut,Su,ŞEHİT GAZİ,2,6.0
2023,6,ÖDEMİŞ,BADEMLİ,Tarım Hayvan,Su,BELDE TARIM HAYVAN,20,432.0
2024,2,KİRAZ,VELİLER,Konut,Su,KÖY ŞEHİT GAZİ,1,26.0
2023,2,TİRE,YENİ,Konut,Su,KONUT (S),6,19.0
2021,2,GÜZELBAHÇE,MUSTAFA KEMAL PAŞA,Konut,Atıksu,KUYU ATIK SU KONUT,1,135.0
2024,8,GAZİEMİR,GAZİ,Konut Dışı,Su,RESMİ DAİRE,1,8.0
2021,3,MENEMEN,İSMET İNÖNÜ,Konut Dışı,Su,İŞYERİ,75,559.0
2022,2,ALİAĞA,KARAKUZU,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,55,294.0
2022,3,ÖDEMİŞ,KAYAKÖY,Konut Dışı,Su,İBADETHANELER,3,17.0
2024,7,FOÇA,KOZBEYLİ,Konut Dışı,Su,İBADETHANELER,1,5.0
2022,1,BORNOVA,KARACAOĞLAN,Sanayi,Su,SANAYİ,3,72.0
2024,2,ALİAĞA,ÇALTILIDERE,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,8,101.0
2024,1,MENDERES,ORTA,Konut Dışı,Su,RESMİ DAİRE,1,28.0
2022,5,GAZİEMİR,MENDERES,Konut,Su,E.A.,70,959.0
2022,9,ÖDEMİŞ,YILANLI,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,51,561.0
2024,4,ALİAĞA,KÜLTÜR,Konut Dışı,Su,İŞYERİ,639,6878.0
2020,10,GAZİEMİR,FATİH,Konut Dışı,Su,İŞYERİ,262,14323.0
2020,10,BERGAMA,MAHMUDİYE,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,4,58.0
2020,1,BAYINDIR,GAZİLER,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,1,38.0
2023,11,KARABAĞLAR,UĞUR MUMCU,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,437.0
2022,2,KEMALPAŞA,SEKİZ EYLÜL,Konut Dışı,Su,BELEDİYE,3,21.0
2021,9,KINIK,POYRACIK,Konut,Su,BELDE ENGELLİ ABONELERİ,24,409.0
2020,1,NARLIDERE,LİMANREİS,Konut Dışı,Su,RESMİ DAİRE,2,30.0
2024,8,ÇEŞME,BOYALIK,Konut,Su,E.A.,10,210.0
2022,5,GÜZELBAHÇE,MUSTAFA KEMAL PAŞA,Konut,Su,KONUT,1276,21035.0
2023,4,ÖDEMİŞ,BOZCAYAKA,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,2,23.0
2020,2,KEMALPAŞA,SOĞUKPINAR,Tarım Hayvan,Su,İLÇE BELEDİYE TARIM / HAYVAN,5,30.0
2021,1,ÇEŞME,CELAL BAYAR,Konut Dışı,Su,İNŞAAT (ŞANTİYE),3,86.0
2023,11,BUCA,GÖKSU,Konut,Su,KONUT (AFET),8,127.0
2022,5,BORNOVA,YUNUS EMRE,Konut Dışı,Su,İNŞAAT (ŞANTİYE),4,163.0
2022,10,DİKİLİ,İSMETPAŞA,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,231.0
2020,9,BORNOVA,MERKEZ,Konut,Su,KONUT,1560,24141.0
2024,2,ÖDEMİŞ,ÇAYLI,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,56.0
2021,11,KEMALPAŞA,YUKARIKIZILCA MERKEZ,Tarım Hayvan,Su,İLÇE BELEDİYE TARIM / HAYVAN,74,2441.0
2024,5,SEFERİHİSAR,CUMHURİYET,Konut,Su,KONUT,2236,15586.0
2020,10,DİKİLİ,MERDİVENLİ,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,55,3672.0
2020,10,GÜZELBAHÇE,SİTELER,Konut Dışı,Su,İŞYERİ,36,1119.0
2020,10,GÜZELBAHÇE,YELKİ,Konut Dışı,Su,İŞYERİ,192,2840.0
2021,7,KONAK,CENGİZ TOPEL,Konut,Su,E.A.,21,294.0
2022,10,ÖDEMİŞ,EMMİOĞLU,Konut Dışı,Su,İBADETHANELER,3,58.0
2023,7,TORBALI,YAZIBAŞI,Sanayi,Su,SANAYİ,62,5798.0
2020,6,SELÇUK,14 MAYIS,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,1,1.0
2021,1,BERGAMA,TURABEY,Konut,Su,E.A.,16,106.0
2022,1,KARŞIYAKA,AKSOY,Konut Dışı,Su,BAKIMEVLERİ,1,2.0
2024,9,KINIK,YAYAKENT,Konut,Su,BELDE KONUT ABONELERİ,7,72.0
2022,6,MENDERES,BULGURCA,Konut,Su,5216 ESKİ KÖY KONUT,2,25.0
2023,2,NARLIDERE,ILICA,Konut Dışı,Su,İNŞAAT (ŞANTİYE),5,601.0
2020,2,BALÇOVA,İNCİRALTI,Konut Dışı,Su,ÖZEL OKULLAR,1,109.0
2020,9,BUCA,ÇAMLIKULE,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,7,1539.0
2020,12,GÜZELBAHÇE,MUSTAFA KEMAL PAŞA,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,129,751.0
2022,1,MENDERES,DEĞİRMENDERE,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,1,2.0
2020,2,BERGAMA,SARIDERE,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,4,284.0
2022,11,SELÇUK,ATATÜRK,Konut Dışı,Su,RESMİ DAİRE,17,584.0
2022,7,KEMALPAŞA,MEHMET AKİF ERSOY,Konut,Su,KONUT,5714,59323.0
2021,5,GAZİEMİR,ZAFER,Konut Dışı,Su,İBADETHANELER,1,38.0
2023,6,KEMALPAŞA,ARMUTLU HÜRRİYET,Konut Dışı,Su,RESMİ OKUL HASTANELER,2,195.0
2021,11,KARABURUN,İSKELE,Konut Dışı,Su,BELEDİYE,3,41.0
2024,7,BALÇOVA,BAHÇELERARASI,Konut Dışı,Su,RESMİ DAİRE,2,3706.0
2024,7,URLA,ALTINTAŞ,Konut Dışı,Su,İBADETHANELER,1,6.0
2022,9,TORBALI,SAĞLIK,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,1,18.0
2020,2,KİRAZ,AYDOĞDU,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,3,91.0
2023,9,KARABURUN,SAİP,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,2,14.0
2020,9,ÇEŞME,ALAÇATI,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,7,6090.0
2022,11,KARABAĞLAR,YÜZBAŞI ŞERAFETTİN,Konut,Su,KONUT (S),71,1015.0
2024,7,MENEMEN,İSMET İNÖNÜ,Konut Dışı,Su,RESMİ DAİRE,1,2.0
2020,8,ÇEŞME,ÇİFTLİK,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,11.0
2024,1,NARLIDERE,ÇAMTEPE,Konut,Su,KONUT,1985,22031.0
2022,9,BEYDAĞ,ERİKLİ,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,4,31.0
2024,3,KARŞIYAKA,İMBATLI,Konut Dışı,Su,İBADETHANELER,2,69.0
2023,1,BUCA,YAYLACIK,Konut Dışı,Su,BELEDİYE,2,26.0
2024,7,KARABAĞLAR,BARIŞ,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,2,94.0
2024,6,ALİAĞA,KARAKUZU,Konut Dışı,Su,İBADETHANELER,1,55.0
2022,2,ALİAĞA,SİTELER,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,4,41.0
2023,3,BORNOVA,BARBAROS,Konut Dışı,Su,RESMİ OKUL HASTANELER,2,65.0
2022,12,SELÇUK,ATATÜRK,Konut Dışı,Su,İŞYERİ,555,6124.0
2022,7,KİRAZ,YENİKÖY,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,20,1265.0
2020,7,ÖDEMİŞ,TÜRKMEN,Konut Dışı,Su,İNŞAAT (ŞANTİYE),15,1058.0
2020,4,BERGAMA,NARLICA,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,2.0
2022,9,URLA,CAMİATİK,Konut,Su,KONUT,188,2357.0
2022,1,ALİAĞA,SİTELER,Konut Dışı,Su,AİLEHEKİM.RES.HAS.,1,5.0
2023,2,ÖDEMİŞ,YEŞİLKÖY,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,60,816.0
2022,3,MENEMEN,İNÖNÜ,Konut,Su,E.A.,9,61.0
2023,8,KEMALPAŞA,KUYUCAK,Konut Dışı,Su,İBADETHANELER,2,41.0
2021,2,KARABAĞLAR,SARIYER,Konut Dışı,Su,İŞYERİ,20,166.0
2022,12,KINIK,OSMANİYE,Konut,Su,KONUT (S),10,110.0
2024,4,KINIK,HAMZAHOCALI,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,106,1412.0
2022,10,KARABAĞLAR,TAHSİN YAZICI,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,15.0
2020,8,KINIK,OSMANİYE,Konut Dışı,Su,RESMİ DAİRE,1,4.0
2023,6,BEYDAĞ,YAĞCILAR,Konut Dışı,Su,İBADETHANELER,1,1.0
2022,5,ALİAĞA,ÇALTILIDERE,Konut Dışı,Su,İNŞAAT (ŞANTİYE),1,12.0
2022,7,BORNOVA,DOĞANLAR,Sanayi,Su,SANAYİ,2,48.0
2021,12,GÜZELBAHÇE,YALI,Konut Dışı,Su,FIRIN HAMAM ABONELERİ,1,2.0
2021,11,ALİAĞA,SİTELER,Konut,Su,ŞEHİT GAZİ,2,11.0
2024,2,BAYINDIR,FATİH,Konut Dışı,Su,İŞYERİ,97,564.0
2023,5,BORNOVA,MEVLANA,Konut Dışı,Su,RESMİ DAİRE,5,3472.0
2020,8,BALÇOVA,BAHÇELERARASI,Konut Dışı,Su,İŞYERİ,40,16631.0
2024,7,KINIK,HAMZAHOCALI,Konut Dışı,Su,İBADETHANELER,1,4.0
2024,8,BERGAMA,BERGAMA OSB,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,2,230.0
2022,10,BAYINDIR,YAKACIK,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,62,3841.0
2023,9,KONAK,PİRİ REİS,Konut,Su,KONUT,1741,14442.0
2022,4,KONAK,KAHRAMANLAR,Konut Dışı,Su,RESMİ DAİRE,6,22.0
2022,4,BALÇOVA,TELEFERİK,Konut Dışı,Su,BELEDİYE,4,216.0
2024,9,ÇEŞME,SAKARYA,Konut,Su,E.A.,2,33.0
2020,8,KARŞIYAKA,GONCALAR,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,29,8822.0
2023,3,ALİAĞA,ÇALTILIDERE,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER BAHÇE SUYU,1,5.0
2021,11,TİRE,KİRELİ,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,223,4619.0
2020,4,GAZİEMİR,SEVGİ,Konut Dışı,Su,RESMİ OKUL HASTANELER,3,3153.0
2023,6,KONAK,MİTHATPAŞA,Konut Dışı,Su,ÖZEL OKULLAR,1,13.0
2024,5,SEFERİHİSAR,HIDIRLIK,Konut,Su,KONUT (S),2,17.0
2021,12,TİRE,ATATÜRK,Tarım Hayvan,Su,İLÇE BELEDİYE TARIM / HAYVAN,2,53.0
2024,2,KINIK,OSMANİYE,Konut Dışı,Su,RESMİ OKUL HASTANELER,2,187.0
2023,6,GAZİEMİR,BEYAZEVLER,Konut,Su,ŞEHİT GAZİ,7,67.0
2022,7,SEFERİHİSAR,ULAMIŞ,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,12,234.0
2020,6,KARABAĞLAR,AŞIK VEYSEL,Konut Dışı,Su,İBADETHANELER,1,52.0
2022,4,FOÇA,KAZIM DİRİK,Konut Dışı,Su,İŞYERİ,34,415.0
2022,5,TORBALI,DİRMİL,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,38,926.0
2023,7,TİRE,HÜRRİYET,Konut Dışı,Su,İŞYERİ,172,2041.0
2023,5,ÇİĞLİ,AHMET TANER KIŞLALI,Konut Dışı,Su,İBADETHANELER,1,20.0
2020,2,MENDERES,OĞLANANASI ATATÜRK,Konut Dışı,Su,İBADETHANELER,1,14.0
2021,11,BALÇOVA,KORUTÜRK,Konut Dışı,Su,TURİSTİK TESİS,2,12192.0
2023,9,KONAK,SELÇUK,Konut,Su,KONUT (S),28,341.0
2020,5,BALÇOVA,TELEFERİK,Konut Dışı,Su,FIRIN HAMAM ABONELERİ,1,18.0
2021,8,KARABURUN,MORDOĞAN,Konut Dışı,Su,BELEDİYE,11,303.0
2023,5,KARŞIYAKA,YALI,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,5,244.0
2020,7,BAYRAKLI,CENGİZHAN,Konut,Su,ŞEHİT GAZİ,7,163.0
2022,2,BEYDAĞ,ADAKÜRE,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,7.0
2022,3,KARABURUN,İSKELE,Konut Dışı,Su,BELEDİYE,3,31.0
2020,11,BUCA,KARACAAĞAÇ,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,2,40.0
2021,2,GAZİEMİR,ATIFBEY,Konut,Su,E.A.,120,1281.0
2021,12,KINIK,KOCAÖMER,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,7.0
2022,6,KEMALPAŞA,MEHMET AKİF ERSOY,Konut Dışı,Su,İNŞAAT (ŞANTİYE),6,443.0
2021,2,BAYRAKLI,GÜMÜŞPALA,Konut,Su,ŞEHİT GAZİ,5,68.0
2023,2,ÖDEMİŞ,ZAFER,Konut Dışı,Su,RESMİ DAİRE,1,68.0
2023,2,BAYINDIR,MİTHATPAŞA,Konut Dışı,Su,FIRIN HAMAM ABONELERİ,4,109.0
2023,6,ALİAĞA,KÜLTÜR,Konut Dışı,Su,FIRIN HAMAM ABONELERİ,2,13.0
2022,8,MENEMEN,İSMET İNÖNÜ,Konut,Su,KONUT,3306,37245.0
2020,2,BERGAMA,AYASKENT,Konut Dışı,Su,BELDE İŞYERİ ABONELERİ,23,201.0
2024,2,KINIK,OSMANİYE,Konut,Su,KONUT (S),10,122.0
2022,8,BALÇOVA,EĞİTİM,Konut Dışı,Su,İNŞAAT (ŞANTİYE),9,124.0
2024,6,GAZİEMİR,GAZİKENT,Konut Dışı,Su,RESMİ DAİRE,1,210.0
2020,8,SEFERİHİSAR,HIDIRLIK,Konut Dışı,Su,BELEDİYE,8,1203.0
2023,9,SELÇUK,ÇAMLIK,Konut Dışı,Su,RESMİ DAİRE,2,334.0
2024,5,ÖDEMİŞ,YUSUFDERE,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,4,21.0
2024,8,KİRAZ,CUMHURİYET,Konut Dışı,Su,RESMİ DAİRE,6,88.0
2023,8,BAYRAKLI,BAYRAKLI,Konut Dışı,Atıksu,KUYU ATIK SU İŞYERİ,3,1237.0
2021,11,BAYINDIR,MEKTEP,Tarım Hayvan,Su,İLÇE BELEDİYE TARIM / HAYVAN,4,44.0
2022,7,SEFERİHİSAR,ULAMIŞ,Konut,Su,5216 ESKİ KÖY ENGELLİ,4,156.0
2022,4,BALÇOVA,TELEFERİK,Konut,Su,KONUT (S),15,169.0
2024,1,TORBALI,İNÖNÜ,Konut Dışı,Su,İBADETHANELER,3,246.0
2022,10,BAYINDIR,KIZILOBA,Tarım Hayvan,Su,ORMAN KÖYÜ VE ESKİ KÖYLER TARIM/ HAYVAN,5,103.0
2022,3,GAZİEMİR,ATIFBEY,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,4,57.0
2022,10,URLA,BADEMLER,Konut,Atıksu,KUYU ATIK SU KONUT,1,1230.0
2021,2,FOÇA,FEVZİ ÇAKMAK,Konut Dışı,Su,BELEDİYE,5,98.0
2023,10,BAYRAKLI,ÇİÇEK,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,1,612.0
2021,7,BERGAMA,ZEYTİNDAĞ,Konut Dışı,Su,BELDE İŞYERİ ABONELERİ,34,811.0
2023,7,BORNOVA,EVKA 4,Konut,Su,KONUT (S),9,87.0
2020,12,DİKİLİ,YAYLAYURT,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,104,3756.0
2024,8,KARŞIYAKA,DEMİRKÖPRÜ,Konut Dışı,Su,RESMİ OKUL HASTANELER,2,117.0
2022,3,BORNOVA,GÜRPINAR,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,2,103.0
2021,7,BALÇOVA,ONUR,Konut,Su,KONUT,5651,49803.0
2023,8,KEMALPAŞA,ÖRNEKKÖY,Konut Dışı,Su,5216 ESKİ KÖY İŞYERİ,44,485.0
2023,7,KARŞIYAKA,İMBATLI,Konut,Su,E.A.,90,1199.0
2022,11,KINIK,ARPASEKİ,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,146,2298.0
2024,1,KİRAZ,YENİŞEHİR,Konut,Su,KÖY ENGELLİ,1,17.0
2020,1,BAYINDIR,CAMİİ,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,2,11.0
2023,5,DİKİLİ,DELİKTAŞ,Konut,Su,5216 ESKİ KÖY ENGELLİ,1,22.0
2024,6,BALÇOVA,ONUR,Konut Dışı,Su,BELEDİYE,1,2.0
2020,6,URLA,YAKA,Konut Dışı,Su,RESMİ OKUL HASTANELER,1,8.0
2024,8,SEFERİHİSAR,HIDIRLIK,Konut Dışı,Su,İNŞAAT (ŞANTİYE),7,225.0
2022,3,ÇEŞME,ALAÇATI,Konut,Su,BELDE ŞEHİT- GAZİ ABONELERİ,7,56.0
2020,9,BORNOVA,ERGENE,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,8,2444.0
2022,5,TİRE,YEMİŞLER,Konut Dışı,Su,ORMAN KÖYÜ VE ESKİ KÖYLER İŞYERİ,3,32.0
2020,10,TORBALI,İSTİKLAL,Konut Dışı,Su,İNŞAAT (ŞANTİYE),1,6.0
2023,1,KARŞIYAKA,DEMİRKÖPRÜ,Sulama,Su,PARKLAR  VE  MEZARLIKLAR,1,57.0
2024,2,BUCA,MURATHAN,Konut,Su,İLÇE BELEDİYESİ BAHÇE SUYU,1,2.0
2020,10,BERGAMA,YALNIZDAM,Konut,Su,ORMAN KÖYÜ VE ESKİ KÖYLER KONUT,21,237.0
2024,1,TORBALI,YAZIBAŞI,,Su,KIRSAL KONUT (MERKEZ),923,9501.0
2022,11,BEYDAĞ,HALIKÖY,Konut Dışı,Su,HAMSU KONUTDIŞI,1,263.0
